,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,5,demande,request
3,6,genre,kind
4,7,mois,month
5,8,frère,brother
6,10,mettre,to put
7,11,aucun,no
8,13,eux,them
9,14,ville,city
10,15,chaque,each
11,16,parlé,speak
12,17,devrait,should
13,18,bébé,baby
14,19,longtemps,long time
15,20,vont,will
16,21,pendant,while
17,22,revoir,meet again
18,23,aucune,any
19,25,parle,speak
20,26,étaient,were
21,27,attention,Warning
22,28,voici,here is
23,29,affaire,case
24,30,type,type
25,31,donné,given
26,32,train,train
27,34,yeux,eyes
28,36,dont,whose
29,37,trouve,find
30,39,main,hand
31,41,pouvoir,power
32,42,vieux,old
33,43,tiens,here
34,46,point,point
35,47,venu,came
36,49,pardon,sorry
37,50,venez,come
38,51,devant,in front of
39,52,vers,towards
40,53,minutes,minutes
41,54,demandé,request
42,56,belle,beautiful
43,57,aimerais,would like to
44,59,mari,husband
45,61,enfin,finally
46,62,attendez,Wait
47,63,parti,left
48,64,boulot,job
49,65,dirait,would say
50,66,compte,account
51,67,fin,end
52,68,croire,believe
53,69,chérie,sweetheart
54,71,plutôt,rather
55,72,filles,girls
56,73,jouer,to play
57,74,bureau,office
